nom,artistes,année,popularité,durée_ms,tonalité,mode,signature_temps,acoustique,dansabilité,énergie,instrumentalité,vivacité,loudness,parlant,valence,tempo,album
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,2022,82,182907,8,0,4,0.0777,0.801,0.601,3.23e-05,0.145,-7.574,0.255,0.74,159.969,Vegas (From the Original Motion Picture Soundtrack ELVIS)
Limbo,Freddie Dredd,2022,83,169947,11,0,4,0.0292,0.802,0.623,0.055,0.113,-5.862,0.459,0.457,74.987,Freddie's Inferno
ceilings,Lizzy McAlpine,2022,81,182888,9,1,3,0.473,0.516,0.322,0.00194,0.215,-11.762,0.0292,0.261,148.005,five seconds flat
TV,Billie Eilish,2022,83,281381,4,0,4,0.83,0.412,0.236,0.00653,0.147,-15.159,0.0379,0.119,140.214,Guitar Songs
Seek & Destroy,SZA,2022,79,203733,1,1,4,0.437,0.651,0.647,0.175,0.205,-5.415,0.0654,0.345,152.069,SOS
10:35,"Tiësto, Tate McRae",2022,87,172253,8,1,4,0.0683,0.696,0.793,3.78e-06,0.18,-5.733,0.097,0.698,120.003,10:35
Spin Bout U,"Drake, 21 Savage",2022,79,214589,7,1,4,0.01,0.773,0.701,0,0.163,-6.386,0.0512,0.203,129.963,Her Loss
What My World Spins Around,Jordan Davis,2022,76,186791,2,1,4,0.105,0.675,0.726,0,0.153,-6.459,0.0461,0.671,124.872,What My World Spins Around
No Se Va - En Vivo,Grupo Frontera,2022,84,194019,0,1,4,0.121,0.594,0.527,0,0.234,-9.335,0.0335,0.692,172.712,No Se Va (En Vivo)
Sun to Me,Zach Bryan,2022,76,163032,9,0,4,0.593,0.505,0.27,0,0.133,-9.165,0.0333,0.557,98.721,American Heartbreak
On BS,"Drake, 21 Savage",2022,79,261544,9,1,4,0.0201,0.841,0.358,0,0.39,-8.368,0.591,0.329,158.014,Her Loss
Thank God,"Kane Brown, Katelyn Brown",2022,76,174560,3,1,4,0.695,0.738,0.455,0,0.107,-8.735,0.0352,0.441,99.945,Different Man
Miss You,"Oliver Tree, Robin Schulz",2022,89,206000,6,0,4,0.0128,0.587,0.742,0.00107,0.146,-6.64,0.0529,0.199,145.007,Miss You
Ojitos Lindos,"Bad Bunny, Bomba Estéreo",2022,87,258299,3,0,4,0.08,0.647,0.686,1.34e-06,0.528,-5.745,0.0413,0.268,79.928,Un Verano Sin Ti
"Going, Going, Gone",Luke Combs,2022,76,177267,6,1,4,0.538,0.565,0.56,0,0.0961,-6.034,0.0275,0.325,159.931,Growin' Up
Die For You,Joji,2022,83,211667,8,1,4,0.383,0.472,0.518,0.127,0.289,-7.379,0.051,0.154,147.805,SMITHEREENS
golden hour,JVKE,2022,82,209260,4,1,3,0.653,0.515,0.593,0.162,0.25,-4.801,0.0322,0.153,94.467,this is what falling in love feels like (554Hz)
Special,SZA,2022,78,158840,0,1,4,0.777,0.604,0.199,0,0.109,-11.831,0.05,0.191,76.134,SOS
Midnight Rain,Taylor Swift,2022,82,174783,0,1,4,0.69,0.643,0.363,5.17e-05,0.115,-11.738,0.0767,0.23,139.865,Midnights
Static,Steve Lacy,2022,78,156507,1,1,5,0.434,0.335,0.305,0.631,0.101,-12.661,0.0741,0.215,79.001,Gemini Rights
Glimpse of Us,Joji,2022,84,233456,8,1,3,0.891,0.44,0.317,4.78e-06,0.141,-9.258,0.0531,0.268,169.914,Glimpse of Us
Major Distribution,"Drake, 21 Savage",2022,78,170502,8,0,4,0.0127,0.908,0.546,0,0.0707,-10.491,0.323,0.225,131.016,Her Loss
"Burn, Burn, Burn",Zach Bryan,2022,75,268856,3,1,4,0.897,0.508,0.296,5e-05,0.11,-10.513,0.0755,0.134,82.532,"Burn, Burn, Burn"
Moscow Mule,Bad Bunny,2022,85,245940,5,0,4,0.294,0.804,0.674,1.18e-06,0.115,-5.453,0.0333,0.292,99.968,Un Verano Sin Ti
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2022,78,239613,9,1,4,0.763,0.665,0.59,0.0132,0.147,-7.608,0.161,0.216,77.559,SOS
Tomorrow 2 (with Cardi B),"GloRilla, Cardi B",2022,76,209811,0,1,4,0.0695,0.791,0.818,0,0.114,-3.93,0.406,0.693,159.922,Tomorrow 2 (with Cardi B)
She Had Me At Heads Carolina,Cole Swindell,2022,75,206107,8,1,4,0.124,0.607,0.912,0,0.332,-3.449,0.0611,0.722,134.944,Stereotype
PUFFIN ON ZOOTIEZ,Future,2022,76,172933,8,1,4,0.0603,0.883,0.657,0,0.128,-5.748,0.305,0.284,124.992,I NEVER LIKED YOU
Tennessee Orange,Megan Moroney,2022,75,223120,9,1,3,0.126,0.38,0.488,7.23e-06,0.115,-6.637,0.029,0.268,156.031,Tennessee Orange
Fall In Love,Bailey Zimmerman,2022,75,232059,9,1,4,0.451,0.524,0.643,0,0.221,-6.055,0.0297,0.397,135.962,Fall In Love
Whiskey On You,Nate Smith,2022,75,183790,8,1,4,7.02e-05,0.479,0.768,0.00549,0.121,-5.204,0.0312,0.576,110.024,Whiskey On You
Used (feat. Don Toliver),"SZA, Don Toliver",2022,77,70160,10,0,4,0.532,0.734,0.689,8.47e-05,0.322,-6.454,0.0871,0.705,149.579,SOS
Escapism. - Sped Up,"RAYE, 070 Shake",2022,84,239888,6,0,4,0.0857,0.435,0.768,0.000231,0.0918,-5.352,0.201,0.378,107.588,Escapism. (Sped Up)
Oklahoma Smokeshow,Zach Bryan,2022,74,211739,8,1,4,0.0958,0.544,0.573,0,0.104,-5.694,0.0356,0.233,122.977,Summertime Blues
SOS,SZA,2022,77,117773,7,0,1,0.669,0.507,0.657,6.97e-06,0.0947,-7.356,0.233,0.506,119.159,SOS
Hype Boy,NewJeans,2022,85,179027,4,0,4,0.268,0.593,0.935,0,0.286,-3.43,0.225,0.783,99.976,NewJeans 1st EP 'New Jeans'
Gilded Lily,Cults,2022,79,212736,11,0,4,0.468,0.4,0.571,3.05e-05,0.519,-6.534,0.0288,0.146,61.859,Offering
About Damn Time,Lizzo,2022,81,191822,10,0,4,0.0995,0.836,0.743,0,0.335,-6.305,0.0656,0.722,108.966,About Damn Time
The Kind of Love We Make,Luke Combs,2022,76,224427,1,1,4,0.0226,0.608,0.745,6.47e-06,0.0942,-4.13,0.0277,0.464,102.025,Growin' Up
Billete Grande (En Vivo),"Fuerza Regida, Edgardo Nuñez",2022,82,163940,5,0,1,0.533,0.751,0.601,0,0.377,-5.912,0.0828,0.56,100.994,Billete Grande (En Vivo)
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2022,91,198938,2,1,4,0.0125,0.621,0.782,0.033,0.23,-5.548,0.044,0.55,128.033,"Quevedo: Bzrp Music Sessions, Vol. 52"
Neverita,Bad Bunny,2022,85,173119,10,1,4,0.0706,0.876,0.498,0,0.143,-7.511,0.0478,0.428,122.016,Un Verano Sin Ti
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,2022,83,196520,9,1,4,0.899,0.247,0.299,0,0.131,-6.083,0.0315,0.172,177.115,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By)
First Class,Jack Harlow,2022,80,173948,5,0,4,0.111,0.902,0.582,3.18e-06,0.111,-5.902,0.109,0.332,107.005,Come Home The Kids Miss You
LET GO,Central Cee,2022,88,175890,2,0,4,0.859,0.735,0.449,0,0.213,-9.933,0.383,0.514,146.016,LET GO
Murder In My Mind,Kordhell,2022,85,145000,10,1,4,0.00547,0.712,0.972,7.06e-05,0.128,-0.514,0.112,0.568,119.966,Murder In My Mind
Gone Girl,SZA,2022,76,244027,5,1,4,0.57,0.428,0.439,0,0.153,-7.674,0.0591,0.418,150.007,SOS
Tennessee Fan,Morgan Wallen,2022,74,198255,6,1,4,0.081,0.482,0.847,0,0.0832,-4.741,0.0317,0.592,76.01,One Thing At A Time (Sampler)
CAIRO,"KAROL G, Ovy On The Drums",2022,86,201280,5,0,4,0.472,0.951,0.692,0.000182,0.0894,-4.038,0.312,0.431,115.047,CAIRO
F2F,SZA,2022,76,185040,2,1,4,0.089,0.533,0.74,2.95e-06,0.337,-5.767,0.0359,0.465,89.934,SOS
Shirt,SZA,2022,78,181831,3,0,4,0.146,0.824,0.453,0.0273,0.0896,-9.604,0.0968,0.552,119.959,Shirt
PROVENZA,KAROL G,2022,85,210200,1,1,4,0.656,0.87,0.516,0.00823,0.11,-8.006,0.0541,0.53,111.005,PROVENZA
La Jumpa,"Arcángel, Bad Bunny",2022,87,255693,8,1,4,0.298,0.713,0.703,0,0.321,-5.769,0.194,0.576,123.06,La Jumpa
Circo Loco,"Drake, 21 Savage",2022,77,236795,1,1,4,0.0102,0.734,0.605,0,0.317,-8.476,0.0699,0.252,103.976,Her Loss
Slut Me Out,NLE Choppa,2022,75,123673,6,0,4,0.117,0.938,0.606,0,0.528,-6.396,0.419,0.706,121.108,Slut Me Out
Trance (with Travis Scott & Young Thug),"Metro Boomin, Travis Scott, Young Thug",2022,77,194787,1,0,4,0.18,0.571,0.549,0,0.168,-7.38,0.404,0.447,119.497,HEROES & VILLAINS
Broke Boys,"Drake, 21 Savage",2022,76,225439,2,1,4,0.0104,0.642,0.533,0.000108,0.251,-7.45,0.266,0.112,120.041,Her Loss
nuts,"Lil Peep, rainy bear",2022,77,85360,2,1,4,0.00872,0.51,0.739,0,0.111,-7.41,0.0415,0.148,62.007,LIVE FOREVER
Good Days,SZA,2022,77,278480,1,0,4,0.418,0.461,0.651,1.26e-05,0.782,-8.81,0.0568,0.383,121.07,SOS
snowfall,"Øneheart, reidenshi",2022,83,124066,10,1,4,0.929,0.466,0.0918,0.803,0.439,-26.813,0.0269,0.0841,95.014,snowfall
La Jumpa,"Arcángel, Bad Bunny",2022,85,196800,9,1,4,0.111,0.887,0.234,0.67,0.13,-14.52,0.178,0.197,140.02,Sr. Santos
Notice Me,SZA,2022,75,160920,5,1,4,0.275,0.724,0.68,9.91e-05,0.11,-6.822,0.117,0.777,159.919,SOS
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,2022,85,210576,2,0,4,0.148,0.637,0.715,0,0.0892,-4.971,0.0455,0.308,141.872,STAR WALKIN' (League of Legends Worlds Anthem)
La Curiosidad,"Ivan Cornejo, Eslabon Armado",2022,74,216000,3,0,4,0.729,0.626,0.454,0.000442,0.159,-8.767,0.0392,0.36,123.351,Dañado
Karma,Taylor Swift,2022,79,204852,8,1,4,0.0734,0.642,0.62,0,0.483,-7.091,0.0666,0.0969,90.02,Midnights
Mad Max,"Lil Durk, Future",2022,75,153600,5,0,4,0.0212,0.898,0.64,0,0.0919,-8.796,0.255,0.68,149.988,Lil Durk Presents: Loyal Bros 2
Shut up My Moms Calling - (Sped Up),Hotel Ugly,2022,81,135529,5,0,4,0.312,0.653,0.474,6.65e-06,0.119,-10.899,0.103,0.361,85.024,Shut up My Moms Calling (Sped up)
N95,Kendrick Lamar,2022,78,195950,1,1,4,0.377,0.79,0.67,2.32e-06,0.119,-5.527,0.105,0.408,139.956,Mr. Morale & The Big Steppers
Bejeweled,Taylor Swift,2022,79,194166,7,1,4,0.0618,0.696,0.559,5.58e-05,0.0887,-9.19,0.0693,0.433,163.999,Midnights
Awkward,SZA,2022,76,178000,5,1,4,0.182,0.618,0.474,0.000122,0.108,-12.097,0.0789,0.397,119.999,Ctrl (Deluxe)
"You're On Your Own, Kid",Taylor Swift,2022,79,194207,2,1,4,0.401,0.696,0.396,5.2e-06,0.125,-10.289,0.0656,0.38,120.041,Midnights
Bones,Imagine Dragons,2022,84,165265,5,0,4,0.0206,0.773,0.742,0,0.0754,-3.678,0.046,0.571,114.071,Bones
Monotonía,"Shakira, Ozuna",2022,87,158805,0,0,4,0.419,0.873,0.695,1.23e-06,0.211,-4.207,0.0459,0.823,131.963,Monotonía
Smoking on my Ex Pack,SZA,2022,75,83827,8,1,4,0.241,0.466,0.676,0.00318,0.224,-8.097,0.38,0.333,81.227,SOS
HOTEL LOBBY (Unc & Phew),"Quavo, Takeoff",2022,76,142657,11,1,4,0.117,0.825,0.649,0,0.232,-4.297,0.169,0.143,127.978,Only Built For Infinity Links
wait in the truck (feat. Lainey Wilson),"HARDY, Lainey Wilson",2022,73,277660,6,1,4,0.277,0.534,0.466,0,0.0979,-6.98,0.0272,0.23,140.0,wait in the truck (feat. Lainey Wilson)
Attention,NewJeans,2022,82,180067,10,0,4,0.236,0.811,0.648,0,0.0761,-3.684,0.0368,0.695,104.988,NewJeans 1st EP 'New Jeans'
Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",2022,75,229938,5,1,4,0.173,0.575,0.56,0,0.257,-7.302,0.478,0.471,75.956,The Forever Story (Extended Version)
People,Libianca,2022,85,184791,10,0,5,0.551,0.573,0.422,1.31e-05,0.102,-7.621,0.0678,0.693,124.357,People
Super Freaky Girl,Nicki Minaj,2022,79,170977,2,1,4,0.0645,0.95,0.891,1.77e-05,0.309,-2.653,0.241,0.912,133.01,Super Freaky Girl
Raindrops (Insane) [with Travis Scott],"Metro Boomin, Travis Scott",2022,77,188587,7,0,4,0.103,0.796,0.539,0,0.343,-5.974,0.0433,0.123,111.988,HEROES & VILLAINS
Yandel 150,"Yandel, Feid",2022,88,216148,6,0,4,0.0492,0.783,0.729,0.000272,0.1,-3.549,0.0691,0.58,167.968,Yandel 150
Handle On You,Parker McCollum,2022,72,219333,6,1,4,0.00411,0.588,0.931,0,0.345,-3.925,0.0318,0.625,105.027,Handle On You
The Kind of Love We Make,Luke Combs,2022,75,224427,1,1,4,0.0226,0.608,0.745,6.47e-06,0.0942,-4.13,0.0277,0.464,102.025,The Kind of Love We Make
Party,"Bad Bunny, Rauw Alejandro",2022,81,227629,9,1,4,0.0151,0.829,0.799,0.000543,0.242,-5.389,0.0897,0.471,97.013,Un Verano Sin Ti
ANTIFRAGILE,LE SSERAFIM,2022,85,184444,10,0,4,0.0821,0.882,0.797,0,0.113,-3.299,0.0819,0.824,105.025,ANTIFRAGILE
Do It Again (feat. 2Rare),"NLE Choppa, 2Rare",2022,77,213206,11,0,4,0.0864,0.806,0.64,0,0.201,-7.398,0.317,0.716,160.054,Do It Again (feat. 2Rare)
Maroon,Taylor Swift,2022,78,218271,7,1,4,0.0573,0.637,0.398,1.03e-06,0.101,-8.294,0.0564,0.0374,108.075,Midnights
Privileged Rappers,"Drake, 21 Savage",2022,75,160821,5,1,4,0.00274,0.934,0.614,0,0.123,-7.384,0.198,0.616,144.045,Her Loss
Conceited,SZA,2022,75,151413,1,1,4,0.0486,0.791,0.458,4.08e-05,0.106,-8.236,0.0673,0.772,150.046,SOS
The Good I'll Do,Zach Bryan,2022,72,211316,10,1,4,0.82,0.434,0.215,0,0.456,-8.478,0.0417,0.187,118.152,American Heartbreak
the perfect pair,beabadoobee,2022,76,177533,11,1,4,0.433,0.634,0.663,0.124,0.102,-6.818,0.0331,0.6,146.053,Beatopia
Matilda,Harry Styles,2022,79,245964,2,1,4,0.896,0.507,0.294,1.97e-05,0.0966,-10.0,0.04,0.386,114.199,Harry's House
El Rescate,"Grupo Marca Registrada, Junior H",2022,82,160897,7,0,3,0.283,0.794,0.594,0.000381,0.109,-8.698,0.139,0.637,99.238,El Rescate
Is There Someone Else?,The Weeknd,2022,81,199111,9,0,4,0.0388,0.702,0.586,7.27e-05,0.156,-7.83,0.0313,0.608,134.951,Dawn FM
Stick Season,Noah Kahan,2022,73,182347,9,1,4,0.782,0.662,0.488,0,0.102,-6.894,0.0682,0.817,117.913,Stick Season
I Hate U,SZA,2022,76,173907,7,0,5,0.514,0.533,0.417,0,0.114,-8.665,0.148,0.376,106.534,SOS
KICK BACK,Kenshi Yonezu,2022,82,193495,1,1,4,0.00207,0.577,0.941,3.36e-06,0.0891,-5.17,0.105,0.292,101.921,KICK BACK
Umbrella (with 21 Savage & Young Nudy),"Metro Boomin, 21 Savage, Young Nudy",2022,75,222000,11,0,4,0.0838,0.822,0.788,0.000173,0.359,-3.634,0.173,0.389,111.016,HEROES & VILLAINS
In My Head,Juice WRLD,2022,76,192000,5,0,4,0.269,0.633,0.548,0,0.16,-5.634,0.0467,0.35,160.011,In My Head
J.,Ivan Cornejo,2022,73,234613,10,1,4,0.666,0.408,0.47,5.44e-05,0.0926,-10.149,0.0893,0.0953,51.66,Dañado
SNAP,Rosa Linn,2022,88,179551,0,1,4,0.107,0.565,0.636,9.9e-06,0.447,-8.198,0.0638,0.525,170.01,SNAP
Después de la Playa,Bad Bunny,2022,79,230400,5,1,4,0.356,0.564,0.903,0,0.175,-3.221,0.307,0.607,78.293,Un Verano Sin Ti
Flawlëss (feat. Lil Uzi Vert),"Yeat, Lil Uzi Vert",2022,75,176125,1,1,4,0.0715,0.474,0.805,0,0.147,-5.997,0.332,0.109,131.001,Lyfë
About You,The 1975,2022,80,326491,2,1,4,0.312,0.416,0.762,0.804,0.0559,-7.385,0.0279,0.461,95.967,Being Funny In A Foreign Language
Wild as Her,Corey Kent,2022,72,199733,0,1,4,0.00216,0.504,0.736,0,0.129,-6.079,0.0352,0.46,148.014,Wild as Her
Around Me (feat. Don Toliver),"Metro Boomin, Don Toliver",2022,76,191520,2,0,4,0.0958,0.693,0.67,0.00857,0.432,-3.537,0.0345,0.084,119.907,HEROES & VILLAINS
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2022,79,256124,9,1,4,0.69,0.663,0.319,0.000993,0.117,-13.481,0.0375,0.193,109.957,Midnights
Satellite,Harry Styles,2022,78,218577,0,1,4,0.143,0.576,0.457,3.05e-05,0.0917,-6.473,0.0304,0.301,138.984,Harry's House
"Would've, Could've, Should've",Taylor Swift,2022,77,260362,7,1,4,0.43,0.483,0.84,0.000575,0.146,-6.508,0.119,0.55,157.979,Midnights (3am Edition)
Far,SZA,2022,74,180680,2,1,4,0.672,0.612,0.549,0.000203,0.163,-7.401,0.0833,0.477,115.915,SOS
Music For a Sushi Restaurant,Harry Styles,2022,79,193813,11,1,4,0.258,0.72,0.715,0.0568,0.107,-4.652,0.04,0.357,107.041,Harry's House
